"Emisión: 10/09/12 12:05:02
Los mas Vendidos $
Año : '2012' , Mes : 'AGO' , Cantidad  : '5000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"ROSAURA TORTA DE HOJALDE RECTANGULAR",423.9,9,117.89999,378
"DANETTE FLAN X 2 X 95 G",423.81162,58,113.51162,379
"SER YOGUR CALCIO VAINILLA PACK  2 X 125",422.09822,71,99.14823,380
"LA VIRGINIA CAFE X 125 G",421.37134,56.99999,139.22135,381
"CACAO NESQUIK 360G",420.62,33,137.63,382
"LA ESPAÐOLA POLENTA X 1KG",419.70968,155,115.90969,383
"JABON T.ARGETINO 200G",419.19185,67,139.80187,384
"GATORADE MANZANA X 473 ML",418.96715,45,112.96715,385
"LARIO BONDIOLA X K",416.86005,3.16,163.69755,386
"SANCOR POR SALUT X 1 K",415.4043,6.71,142.1731,387
"ILOLAY LECHE DECS. POLVO X 800 G",415.07,12,116.27,388
"BAGGIO PRONTO DURAZNO X 1L",413.09238,62,122.20239,389
"COLGATE TOTAL 12 CLEAN MINT X 180 G",411.19832,19,150.51832,390
"JARRO PORCELANA COFFEE",410.30605,20,180.30605,391
"ADES MANZANA X 200 CC",406.72277,153.0001,32.85263,392
"LA ESPAÐOLA LENTEJAS X 500 G",405.50772,94,112.21772,393
"JABON P.ALA MATIC FRESH 3KG.",405.39,10,119.89,394
"ACTIVIA CIRUELA X 750 CM",402.56476,41,82.35476,395
"ESENCIAL LINEA BLANCA 4X30",401.9459,57,126.0659,396
"M&K ARVEJAS 350G.",400.60951,144,175.10951,397
"DANETTE CREMA AMERICANA X 2",398.32,55,108.67,398
"LA VIRGINIA TE X 50 SAQ",397.96805,74,118.98805,399
"COLGATE DENTIFRICO SABOR ORIG. X 90 G",396.838,57,156.14799,400
"PLUSBELLE JAB RELA 3X125",394.24336,34,125.98336,401
"COFLER BLOCK X 38 G",393.67998,98,161.41999,402
"MAROLIO CAB EN ACEITE 380",392.99029,31.99999,121.95037,403
"3 ARROYOS MED MERLUZA X K",392.13414,11.05501,120.29169,404
"JABON T.REXONA NUTRI FR.3X125",389.65153,35,144.00153,405
"DULCOR BATATA C/CEREZA X K",389.64973,24.84501,151.13767,406
"LA SERENISIMA LECHE ENTERA L.V. X 1 L",388.81,49,80.6,407
"GRANIX FIESTA SURTIDAS X 350 G",388.64998,55,131.24999,408
"MANTECA MANFREY 100G.",388.14995,77,117.41995,409
"MANTECOL 130G",387.92,29,165.2,410
"JABON P.ALA MULT.800G.",386.71948,30,155.11948,411
"SANIDAD PH BLANCO X 4 X 30 M",386.7,54,121.93999,412
"GIACOMO QUESO Y JAMON X 500 G",386.32566,18,132.52566,413
"FARGO RAVIOLES 4 QUESOS X 500 G",386.3,20,111.85,414
"ILOLAY QUESO RALLADO  X 40 G",386.11716,87,105.97716,415
"HEAD & SHOULDERS SHAMPOO RELAX X 200 ML",385.85001,25,123.35001,416
"HIGIENOL EXPORT 4 X 40",384.74901,47,129.83899,417
"ACE JAB EN POL REGULAR X 400 G",384.24074,65,115.65074,418
"ZUCOA X 180 G",383.97239,105.99999,125.15241,419
"TARAGUI MATE COCIDO X 100",383.47293,20,105.27293,420
"ARCOR CHOCOLATE BLANCO X 25 G",382.80232,190,124.40232,421
"KEVIN BY CANNON X 150 ML",382.05788,18,139.05788,422
"JABON P.ALA MATIC MULTIACC.3KG",381.74,9,121.43,423
"ROSAURA PAN LACTAL SALVADO 375G",381.7281,68,63.4881,424
"BON O BON BLANCO X 17 G",381.44519,253,163.86519,425
"ILOLAY YOGUR ENT.DURAZ. BEBIBLE X 1 L",380.87986,60,89.27986,426
"LA SERENISIMA CREMA X 360 CC",380.76,32,90.2,427
"HELLMANNS MAYONESA DOY PACK X 500CC",380.73752,47,116.56752,428
"CANALE DURAZNOS X 820 G",380.35909,34,48.5191,429
"MICHEL TORINO SELECCION X 700 ML",380.35,41,160.34,430
"COLGATE DENTIFRICO SABOR ORIG X 70 G",380.17551,77,143.6755,431
"TERMO BOMBA N/CUISINE",380,2,139.74,432
"LACER FOCO 75/100 W",379.92981,62.99997,197.22991,433
"PENNISI CAB EN ACEITE 380G",378.83,31,114.38,434
"VIÐAS DE ALVEAR TINTO X 1250 CC",378.30046,22.00002,117.98015,435
"ESPONJA LUX X1U/CAJA",375.97,9,115.66,436
"FIDEO M&K CODOS X 500 G",375.81289,145,103.21289,437
"ILOLAY SARDO X K",375.23,3.925,140.71125,438
"VIÐAS DE BALBO BORGOÐA DAMA  X 4650 CM3",373.38,7,50.68,439
"SPRITE X 1500 CC",372.9,34,85.48,440
"GRANIX ARITOS FRUTALES X 130 G",371.55082,61,118.95082,441
"LYSOFORM DES AEROSOL BEBE X 360 G",371.36,26,114.74,442
"NEREIDA SARDINA EN ACEITE X 120 G",370.83,34,115.83,443
"OBLITA VAINILLA X 96 G",370.23,123,105.78,444
"SERENITO COMUN VAINILLA X 130 G",369.8412,75,96.8412,445
"PERIQUITA YERBA MATE X 2 KG",369.55,11,114.46,446
"BABYSEC ULTRA XXG X 48 UNID",369.42,6,89.2,447
"PAMPERS BABYSAN X 10 UNID (M)",368.86587,32,94.62587,448
"PATITAS DE POLLO X 800 G",368.61,7,117.31,449
"LA SERENISIMA CREMA DOBLE X 200 G",366.7,52,90.06,450
"KNORR SOPA CAS POLLO Y MUNIC + FID",366.66459,83.99996,117.18469,451
"SERENITO ERA HIELO 114 G",365.76261,53,93.8726,452
"DANETTE CHOCOLATE X 2 X 100 G",365.57,50,100.6,453
"SANCOR BEBE 3 (TRES) X 800 G",365.27,6,79.73,454
"UPA LA LA TOALL.HUM. 100 UN.",363.37,37,116.58,455
"M&K SAL FINA 500G.",362.3071,279.99997,179.90708,456
"HUGGIES CLASSIC XXG X 8",360.09804,31.00001,97.52805,457
"VELAS FAROLITO X 4 UNID",360.0551,180.00004,173.21507,458
"COLGATE TOTAL 12 CLEAN MINT X 90 G",359.48524,29,129.51524,459
"GATORADE NARANJA X 1.25 L",359.25,17,100.85,460
"BARFY HAMBURGUESA X 276 G",358.4892,39,129.5592,461
"ZORRO BIO CRIST.+3 KG",357.87,10,126.93,462
"ILOLAY BLUE CHEESE X K",356.66365,3.44,141.78475,463
"JABON P.ALA VIVERE MATIC 400G.",356.24884,62.00002,109.48885,464
"SER YOGUR BEBIBLE DURAZNO CALCIO X 190 G",355.18,54,78.16,465
"BAGLEY SALVADO X 214 G",355.06999,83,83.59,466
"CAREFREE PROT. BRISA TANGA 20U",354.88,32,132.28,467
"ALWAYS PROT.DIA. SEGURA 18UN.",354.61023,43.00003,126.00008,468
"JABON P.ALA MATIC C/VIVERE 800",352.75,27,139.69,469
"ZORRO JAB EN POL C/SUV X 400 G",351.86696,86.99998,57.80699,470
"SEDAL ACOND BALANC X 300",351.54322,27,116.95322,471
"SANTA ANA SELECCION TINTO X 700 CC",348.48,44,113.19,472
"BABYSEC CLAS.XXG 8U.",347.66,44,92.9,473
"DANONINO BEBIBLE FRUTILLA PACK X 4",347.45,28,84.25,474
"ROSAURA PAN LACTAL 15 FETAS",347.09946,51.99999,347.09946,475
"ULTRA JABON BLANCO X 200G",345.62189,135.99996,164.74194,476
"LA SERENISIMA DULCE DE LECHE COLONIAL X",345.2507,38,94.3707,477
"ODOL NUEVO X 180G",343.81924,44,123.27925,478
"JABON T.REXONA ACQUA 125G",343.41537,82.99998,116.9754,479
"YOGUR YOGS FIRME FRUT.125G 2U",342.56,61,72.33,480
"SER COLCHON DE FRUTAS Y CEREAL",342.20871,47.00002,77.91856,481
"PRITTY LIMON X 2250 CC",342.11,33,91.75,482
"SEDAL ACOND CERAM X 300 ML",341.87858,27,106.18858,483
"CEPITA MULT FRUTA X 1 L",341.00055,71.00001,94.63054,484
"RIVOLI SPAGHETTI 500G.",340.64207,93,102.56207,485
"GOLFT PAPEL HIGIENICO BLANCO 4X30",340.24634,52,106.76634,486
"GRANJA DEL SOL SUPREMA JAMON QUESO",339.65,9,111.59,487
"MAGISTRAL LIMON X 600 ML",337.21356,18,131.07356,488
"SEDAL SHAMP SOS CREMA X 300ML",337.01969,26,110.97969,489
"LA SERENISIMA LECHE DESC EN POLVO X 400",336.28,17,72.95,490
"ROSAURA TORTILLAS GRANDES",335.74,370,84.14,491
"RANCHA TRAP.PISO 46X60 ECON.",335.46552,94,133.24552,492
"FELA MORTADELA X KG",335.44157,9.88498,152.37162,493
"M&K DEDALITOS X 500 G",335.08656,138,98.14656,494
"CLIGHT MANZANA DELICIOSA X 7.5 G",334.15659,180,110.45659,495
"LAYS  X 85 G",334.12,30,59.62,496
"PEPITOS GALLETAS X 118G",333.51662,69,90.63662,497
"DAYS SENS PROTECTORES 60 U",333.24,20,119.24,498
"MEDIA TARDE X 330 G  3 UNID",332.84469,72,92.84469,499
"SER DULCE DE LECHE X 400 G",332.25,29,91.84,500
"SEDAL AC CREC FORT NUEVO X 200",331.92,36,130.32,501
"ACE MATIC ROSAS/JAZMIN  3KG.",331.66,8,90.56,502
"BABYSEC ULTRA G X 60 UNID",331.53,5,92.58,503
"YOGUR YOGURISIMO FRUTI.1.3KG.",331.4,33,44.63,504
"CITRIC NARANJA X 3L",331.37,10,91.27,505
"ACTIVIA FRUTILLA PACK X 2",331.16,51,70.04,506
"DON YEYO RAVIOLES 4 QUESO",329.78,22,94.16,507
"TIA MARUCA MARUQUITAS FRUTILLA X 200 G",329.36932,52,84.96934,508
"HUGGIES PROMO XXG X 48 + 1 TOALLITA",329.16,4,74,509
"SERENITO COMBINADO X 130 G (VAINILLA DCE",329.06,66,88.82,510
"KOLYNOS 180G NUEVO",327.31872,28,110.05872,511
"SEDAL AC CERAMIDAS NUEVO X 200",327.19539,35,140.64539,512
"GATORADE FRUTAS TROPICALES X 1.25 L",326.4,15,98.4,513
"SANCOR CREMA DE LECHE X 200 G",326.19,44,69.23,514
"TOALL.ALWAYS NOCT.16U",326.16361,13,121.54361,515
"CBSE SILUETA CORMILLOT X 500 G",325.79328,23,95.10328,516
"VILLA DEL SUR LEVITE NARANJA  X 2.250 CC",324.7229,30,101.5229,517
"SPRITE X 500 CC",323.19188,64,56.95188,518
"PAMPERS JUEGOS Y SUEÐOS X 10 (G)",323.13361,22,116.99361,519
"COCA COLA X 2000 CC RETORNABLE",322.6,34,75.39,520
"TERMIDOR CAJA TINTO X 1 L",322.23,36,95.97,521
"POZO MADALENAS X 250 G",322.16303,46,83.96303,522
"DURACELL AA X 4 UNID",321.55655,20,115.35655,523
"FATY GRASA X 1 KG",321.28,18,111.58,524
"CERROS TUCUMANOS YOGUR  FRUTILLAX 1 L",320.82983,66.99996,86.32996,525
"VILLA DEL SUR LEVITE MANZA X 1500 CC",320.72,40,92.72,526
"PALADINI JAMON COCIDO SELECTO X K",319.909,3.1,142.682,527
"MAURI SIN SAL X 800 G",319.60144,19,88.45144,528
"ROCKLETS X 40 G",319.32,78,125.88,529
"CASANCREM CLASICO X 320 GR",319.1,24,85.9,530
"COMBO KNORR QUICK+HELLMANS 125",318.02469,35,318.02469,531
"GILLETTE PRESTOBARBA ULTRAGRIP MOVIL X U",317.82,52,141.54,532
"RIERA TOSTADAS LIGHT X 200 G",317.34,38,84.4,533
"ZORRO BIO CRIST 800G SAUV",315.11178,34,118.93178,534
"ODORONO REXONA X 60 G",315.05521,31,118.26521,535
"CLIGHT NARANJA X 10 G",314.96606,172,91.68606,536
"LA SERENISIMA POR SALUT LIGHT X 200 G",314.90356,33,75.32356,537
"EL TUCUMANO TOMATE TRITURADO X 950 G",314.29154,46,97.54154,538
"DOMINGO HERMANOS DAMAJ TINT ROBLE X 4650",314.25,3,81.45,539
"GIACOMO VERDURA X 500 G",314.02,15,102.52,540
"LUMILAGRO TERMO QUASAR PLUS 1L",314,1,90,541
"DON YEYO RAVIOLES  ESPINACA CARNE X 500",313.63,21,95.29,542
"ACE MINIESPUMA ACTIBLU X 800 G",313.47722,24,79.47722,543
"PLUSBELLE JABON PURICA 140G",313.46003,65,119.11003,544
"CREMA DE LECHE MANFREY 200ML.",313.44491,53,90.84491,545
"ARIEL LIQUIDO FUTUR X 800 ML",313.2,14,106.18,546
"QUILMES CRISTAL BAJO CERO X 1 L (RET)",312.49,31,114.09,547
"ARCOR CHOCOLATE NEGRO X 25 G",312.37772,155,101.57772,548
"H&S SHAMP MENTHOL X 200 CC",312.22,20,104.62,549
"LA SERENISIMA LECHE P/DESC BOT L.V X 1L",312.19,34,69.43,550
"SEDAL ACON RECONST X 300",311.63019,24,102.25018,551
"FARGO CAPPELETTIS POLLO Y ESP. X 500 G",310.64,16,89.02,552
"PLUSBELLE JAB ENERG 3X125G",310.63227,27,97.60227,553
"TRAVIATAS X 5 X 505 G",310.50877,28,85.94877,554
"FARGO DOBLE INTEGRAL 540GR",310.34,16,78.5,555
"BABYSEC ULTRA G X 16",310.30071,18,85.48071,556
"ILOLAY MANTECA X 200 G",308.01,30,80.90999,557
"PLUSBELLE JABON REFRESC140G",307.56409,63,119.19409,558
"YOGS SANCOR C/CEREALES X 170 G",307.54564,46,66.04564,559
"TITA X 18 G",307.01997,152.99999,109.64999,560
"KNORR SOPA CAS POLLO Y CAB ANGE + FID",306.60994,70,97.30994,561
"LAYS PAPAS 23 G",306.42,102,51.42,562
"FARGO LIVIANO X 440 G",306.22,24,82.87,563
"ALGABO COMBO SHAMPOO/ACOND + POLVO PED",306.11,13,159.4,564
"SUSARELLI ROJO X 1 KG",305.66,29,84.68,565
"MINORA",305.39559,148,171.83559,566
"FIRULETE PAPEL HIGIENICO X UNI",305.17431,335.99996,76.69431,567
"KINDER X 50 G (4 BARRAS)",304.41231,41,114.90231,568
"SALSA PIZZA ARCOR 340G.",304.28709,57.00001,88.2571,569
"HELLMANNS KETCHUP X 250G",304.07507,43,110.14507,570
"DULCE D.L.LA SERENISIMA 400G.",302.95863,32,84.07863,571
"LA HOJA YERBA MATE X 25 SAQ",302.66519,60,84.86519,572
"ALWAYS PROT.DIA. 100UN.",302.47355,10,103.67355,573
"LA TRANQUERA YERBA X 100 SAQ",301.35061,17.99999,81.93061,574
"GRANJA DEL SOL SUPREMA POLLO,ESP,QUES X4",301.29,8,96.89,575
"MANFREY DULCE DE LECHE X KG",300.63572,16.88502,92.61233,576
"TANG JUGO NARANJA X 35 G",300.49298,185,87.04298,577
"BABYSEC ULTRA XG X 14",299.78,18,74.96001,578
"SPRITE X 1500 CC ZERO",299.14987,27,69.61987,579
"ALA JABON EN POLVO C/VIVERE X 800G",298.69265,23,92.15265,580
"GRANIX FRUTIGRAN SEMILLAS CHIA/LINO X 24",298.13,39,80.51,581
"SERENITO CHOCO BOMBAS X 118G",298.1,43,77.51,582
"PALADINI BONDIOLA X 1 K",297.9453,2.15,128.5278,583
"CINDOR LA COPA X 100 G",296.72069,52,74.68069,584
"GALL.OREO C/CHOCO/RELLE 111G",296.61117,51,81.39117,585
"BABY ALGABO TOALLAS HUM X 80 ALOE",294.98,32,124.74,586
"TARAGUI MATE COCIDO X 25 SAQ",294.32745,53,104.05744,587
"FARGO LACTEADO X 470 G",293.56,22,77.56,588
"BORITA CARICIAS X 900",293.30545,41,122.33545,589
"CBSE YERBA X 1 KG",292.33525,11,102.03525,590
"KINDER CHOCOLATE MAXI X 21 G",291.123,82,98.143,591
"JABON T.REXONA 3X125G",290.95651,26,107.71651,592
"DRIVE FRESC.MAR 800G",290.4945,32,99.7045,593
"MATARAZZO LASAGNA 500 G",290.33,16,77.05,594
"ILOLAY YOGUR FRUTILLA-KIWI BEBIBLE",289.59,46,66.03,595
"ILOLAY MANTECA X 100 G",289.39043,52,87.11043,596
"ACTIVIA CIRUELA X 2",289.21351,45,58.81351,597
"LA SERENISIMA LECHE FE ENTERA X 1 L L.V",289.10631,34,66.40631,598
"SER YOGUR COLCHON DE FRUT,ARAND,GR X 190",288.79689,39,76.18689,599
"ODOL X 90G NUEVO",288.40874,60,101.20874,600
"SER YOGUR BEBIBLE FRUTILLA CALCIO X 190",287.6217,44,61.9017,601
"FARGO SALVADO DOBLE DIET X 770 G",287.58,11,75.74,602
"COLGATE DENTIFRICO MAX PROTEC. X 180 G",287.49726,27,112.54726,603
"MARBELLA CABALLA ACEITE X 425G",287.35,24,95.59,604
"PATITAS POLLO GJA.DEL SOL 450G",285.83,10,90.23,605
"TANG JUGO NARANJA MANGO  X 25 G",285.10074,173,35.29074,606
"JUGO P.INCA ANANA",284.9417,234,73.34171,607
"LUCCHETTI CALDOS VERDURA X 12 UNDS",284.93,40,77.73,608
"SAVORA MOSTAZA X 60 G",283.50853,127.00001,96.62854,609
"KNORR SOPA CASERA DE VER C/ARROZ X 82G",283.4687,66,85.9287,610
"DONCELLA ALGODON X 140G",283.37502,29,100.96502,611
"MR MUSCULO MOCHILA X 48G",282.50505,23,100.76505,612
"NORTE BLANCA X 970",281.78,30,69.24,613
"ALA JABON MATIC X 800 G",281.73031,22,107.97031,614
"SER YOGUR FORTIFICADO FRUTILLA X 1L",281.07,33,56.88,615
"NATURA MAYONESA X 500G DOY PACK",281.03997,23.99999,80.63999,616
"BAHIA SARDINA AC/AGUA X 125G",280.96119,31,124.47119,617
"LAYS X 50 G",280.87,44,48.07,618
"PEPSI X 1500 CM3",280.59971,23.99997,73.11993,619
"SYLVANIA LAMPARA BAJO CONS.15W",279.97473,21,70.39473,620
"LA VIRGINIA CAFE EQUI.500G.",279.82358,11,84.46358,621
"DEO.47 STREET AP.AERO.140ML.",279.57406,20,98.17406,622
"ROSAURA PAN RALLADO X 400G",279.30419,46,72.30419,623
"ILOLAY LECHE EN POLVO ENTERA X 400 G",278.66,13,79.89,624
"GATORADE FRUTAS TROPICALES X 473 ML",278.33,30,74.33,625
"TOYS HUEVOS ARCOR X 22 G",277.94583,51,112.78583,626
"SI DIET X 200 ML",277.42087,53.99997,94.36098,627
"VIVERE CLASICO X 900 ML 7DIAS",277.40493,28,90.07491,628
"LA SERENISIMA LECHE FE DESCREMADA X 1 L",276.84,33,60.69,629
"M&K LAVANDINA 1 LT.",276.68719,77,102.66718,630
"LA SERENISIMA DESLAC. DESC X 500 CC",275.42,47,60.63,631
"ILOLAY DULCE DE LECHE REP. X 1 K",275.41015,10.665,108.2896,632
"ROSAURA PAN DE MIGA SALVADO X 10 FETAS",275.09997,19,81.29999,633
"LA MORENITA CAFE  X 20 UNDS",275.0896,21,91.9696,634
"CERROS TUCUMANOS YOGUR  VAINILLA X 1 L",274.48152,58,71.48152,635
"DOBLE COLA X 2250 CC",274.40495,32,98.82495,636
"YOGUR YOGURISIMO VAIN.1.3KG.",273.9989,27.00003,39.36868,637
"ARLISTAN CAFE X 170 G",272.83,10,81.37,638
"NESCAFE DOLCA GRAN. SELEC 170",272.596,12,83.836,639
"SEDAL SH CERAMIDAS NUEVO X 200",271.90354,26,122.40354,640
"CEPITA MANZANA X 1 L",271.63869,57,73.84871,641
"ACE LIQUIDO X 400 ML",270.91096,38.99999,81.37101,642
"DRIVE JABON P.REGULARTQ.S.800G",269.98,27,73.96,643
"LA TUCUMANITA ÑOQUIS 500G.",269.31912,24,89.51912,644
"LYSOFORM DES AERO LAVANDA X 360",268.1556,19,80.6256,645
"HUGGIES CLASSIC G X 30",267.82999,6,87.83,646
"BABYSEC ULTRA XXG X 8 UNID",267.64,26,67.7,647
"LA SERENISIMA GRIEGO FRUTILLA X 100",266.26366,53,62.74366,648
"DOMINGO HERM FINO TINTO X 4650 CM3",265.9,3,80.44,649
"SER YOGUR FORTIFICADO X 1 L VAINILLA",265.8,30,63.32,650
"ESPADOL JAB FRESH 3X90G",265.32567,17.99999,83.52576,651
"DON YEYO RAVIOLES ESPINACA X 500 G",264.82,18,75.69,652
"SABROSITOS ALIMENTO P/PERRO MIX K",264.70307,35.74,99.94167,653
"COLGATE TOTAL 12 PROFESIONAL WHIT. 100 G",263.32,16,93.88,654
"JABON P.ALA MATIC MULTIA.400G.",263.15624,46,72.25624,655
"CORMILLOT MERMELADA DURAZNO X 390G",263.14,30,76.84,656
"ROMYL LANA DE ACERO 60G.",263.04345,71,114.65345,657
"MAGISTRAL MARINA X 300",262.77,27,100.89,658
"FANTA X 500 CC NARANJA",262.69211,52,46.37211,659
"GRANIX SKARCHITOS MIEL X 240G",262.61027,38,79.07027,660
"ALA REGULAR 800G",261.6,20,82,661
"MAURI FAUNA X 150 G",259.63955,86,87.11955,662
"SPEED ENERGY DRINK X 250 CC",259.28,34,82.63,663
"CALIPSO PROTECTORES ANATOMICOS X 20",259.13594,65,86.23594,664
"CAÐUELAS GIRASOL X 900 ML",257.93,24,144.17,665
"SANCOR MANTECA CLASICA X 100 G",257.3312,39,77.5412,666
"OBLITA FRUTILLA X 96 G",257.28,88,76,667
"GRANIX SANDWICH  X 600 G",256.84,23,68.24,668
"ROMYL ESCOBILLON N¬ 3 XL",256.72463,15,131.47463,669
"COLGATE DENTIFRICO TOTAL 12 WHITENINGX 9",256.7,23,99.38,670
"BOB CHOCO",256.51431,170,110.31431,671
"COLBERT NOIR X 250 NK",256.26825,11,88.73825,672
"YOGS YOGUR ENTERO VAINILLA X 2 UNID",256.09,51,50.05,673
"PROCENEX LAVANDA X 1.8 L",255.37311,28,82.89311,674
"LA SERENISIMA DANBO LIGHT X 200 G",254.82,12,70.38,675
"ROSAURA TARTAS GRANDES",254.8,7,254.73,676
"LUMILAGRO TERMO TANGO",254.58,3,84.87,677
"FARGO RAVIOLES RICOTA X 500 G",254.47,13,72.73,678
"SEDAL SH CREMA NUEVO X 200",254.16678,24.99999,110.41677,679
"CRANDALL DESODORANTE X 150 ML",254.14,14,86.44,680
"PAMPER BABYSAN XXG 44U",254.07,3,63.03,681
"SAL FINA DOS ANCLAS ESTUCHE X 500 G",253.57383,103.99993,53.89386,682
"SER YOGUR COLCHON DE FRUTAS X 190 G (FRU",253.57327,35,68.67328,683
"FERRERO ROCHER BOMBONES X 3 UNID (37,5 G",252.98,36,80.9,684
"SEDAL SH CREC FORT NUEVO X 200",252.95,25,109.2,685
"NESCAFE DOLCA SUAVE RENOV.50G.",252.92268,27.99999,68.40277,686
"ARIEL LIQUIDO X 3 LTS",252.91,4,71.91,687
"UPA LA LA ! COLONIA 200 CC",252.89,15.99999,96.24999,688
"RIERA TOSTADAS C/GLUTEN DULCES X 200 G",252.8,32,65.92,689
"YOGS SANCOR 2 X 125 G VAINILLA",252.64,45,53.29,690
"IRENE FIDEOS DOBLADITOS X 500G",252.31252,28,63.31252,691
"POSTRE MANFREY DDL 120G.",251.87556,101,84.54556,692
"LA ESPAÐOLA POROTO ALUBIA X 500 G",251.34102,53,70.08102,693
"PICADILLO CHANGUITO X 90 G",251.28,91,85.65998,694
"JABON T.REXONA NATURAL 3UN",250.98366,23,90.21366,695
"SOLITAS SURTISOL FAMILIAR X 1 K",250.97,19,82.25,696
"MORA DURAZNOS X 820 G",250.01,25,65.63,697
"COCA COLA VASO",250,50,12.5,698
"VIENISSIMA LIGHT X 6 UNDS",248.86022,25.00002,75.86007,699
"BABYSEC ULTRA XXG X 24",247.2,8,64.08,700
"JUGO ADES DE PERA 1LT.",247.06,37,58.54,701
"FELA MATAMBRE  ARROLLADO X 1",245.96,3.365,106.9855,702
"ARCOR TOMATE PERITAS PELADOS X 400 G",245.13,44,78.81,703
"PILAS DURACELL AAA 2 UNI",244.92,26,81.64,704
"HISOPOS Q-SOFT X 50 UNID",244.70767,36.00001,87.74766,705
"ROSAURA TARTAS MEDIANAS",244.44,20,244.24,706
"HEAD & SHOULDERS PROTEC. CAIDA X 400 ML",244.01,7,93.58,707
"SANCOR FLAN CASERO 2 X 120 G DULCE DE LE",243.89913,25.99999,57.21912,708
"DANICA DORADA X 100G",243.74851,60,69.74851,709
"ECOOO REPASADOR AJEDREZ",243.69923,16,106.41923,710
"PRESTO PRONTA X 750 G",243.50709,29,71.53709,711
"ACTIVIA FRUTILLA 0% 2X125G",243.5,36,59.18,712
"ACE NATURALS ALOE VERA MANZ X 400G",243.03,67,60.12,713
"JABON P.ALA MATIC C/VIVERE 3KG",242.85,6,70.71,714
"SEDAL REC ESTRU SH X 300",242.76807,19,78.33806,715
"LA VIRGINIA CAFE INST SUAVE X 50 G",242.03197,28,81.03197,716
"NATURA MAY X 125 CM3",241.77523,94,115.81525,717
"CALIPSO PROTECTORES ANATOMICOS X 20 UNID",241.71364,59.99999,82.11364,718
"SEDAL SHAMP SOS CER X 300 ML",241.68783,19,76.15783,719
"ILOLAY DULCE DE LECHE X 1 K",241.68,12,52.92,720
"GIGANTE LAVAVA  X 750 LIMON",241.57357,47,73.31358,721
"LA SERENISIMA LECHE DESC  L.V X 1",241.1,28,64.98,722
"AGUILA CHOCOLATE TAZA X 100 G",240.94,20,85.95,723
"LA SERENISIMA JUNIOR FRUTILLA X 1 L",240.884,29,61.664,724
"BC DURAZNOS X 800 G",240.48,16,22.08,725
"JUGO P.INCA MULTIFRUTAS 30G",240.13875,196.00002,62.82877,726
"BRUMOLINE FULL",239.46,20,86.46,727
"SER YOGUR FIRME FRUTILLA X 200 CC",239.4084,51,54.2784,728
"M&K TOMATE TRITURADO 970 G",239.37,21,100.14,729
"ILOLAY YOGUR C/CEREALES X 150 G",238.91173,60,69.11173,730
"ECOOO FRANELA CHICA EXTRALIMP",238.80833,25,108.30833,731
"ILOLAY QUESO RALLADO  X 150 G",238.21,15,59.26,732
"SER JUGO NARANJA DULCE X 10.4 G",237.73629,149,72.34629,733
"ALICANTE PIMENTON X 50 G",237.68754,58,89.20754,734
"KNORR SOPA CREMA DE CHOCLO X 69 G",237.62074,54.00002,74.46074,735
"ARCOR DURAZNOS X 820 G",237.27465,18,67.17465,736
"M&K PURE TOMATE 520 GR.",236.78223,71,81.29223,737
"VILLA DEL SUR LEVITE PERA  X 2.25 L",236.66,22,72.98,738
"YOGS FORTIFICADO VAINILLA X 1 L",236.27,26,52.19,739
"YOGURISIMO FIRME ENT VAINILLA X 200 FORT",236.01,59,54.5,740
"EXTRALIMP ESCOBILLON ESQUINERO",235.86,12,102.54,741
"GRANIX  BALONCITO X 150 G",235.72778,33,68.26778,742
"LARIO FIAMBRE COCIDO X K",234.94884,4.51,102.58034,743
"SER SALCHICHAS  X 171 GRS.",234.93,30,61.83,744
"PANTENE SHAMP LISO Y SEDOSO X 200 ML",234.45,15,79.2,745
"FARGO RODAJA FINA X 620 G",233.36,13,65.92,746
"LUMILAGRO REPUESTO",233.32,6,88.12,747
"AMANDA YERBA DESPALADA X 1 KG",233.2597,8,62.9397,748
"GATORADE NARANJA X 473 ML",232.55,25,62.55,749
"ARCOR MERM DURAZNO DIET X 390 G",232.06764,21,69.31764,750
"LYSOFORM AIRE DE MONTAÑA AERO X 360 CM",232.00515,16,74.08513,751
"DANICA DORADA X 500 G",231.6,12,71.88,752
"RED BULL ENERGY DRINK X 250 CC",231.59,19,73.35,753
"CBSE MAS NARANJA X 500 G",231.14907,16,70.66907,754
"NESTLE LECHE CONDENSADA X 395 G",230.95837,19,83.89837,755
"ARO PAPEL HIG H.SIMPLE X 4",230.4,32,88.64,756
"CRIOLLITAS OFERTA X 5",229.93991,23.99999,60.49998,757
"DANICA DORADA LIGHT C/OMEGA3 X 200 G",229.786,23,62.806,758
"FARGO RAVIOLES RICOTA Y ESP. X 500 G",229.48,12,65.76,759
"PATITAS DE POLLO X 400 G",229.2,8,68.72,760
"CEREAL MIX GALLETA C/ SEMILLASY CHIPS 23",228.50393,33,66.14393,761
"BC JUGO MULTI X 1 L",228.46,38,61.64,762
"PANTENE SHAMP RESTAU X 200 ML",228.45,15,73.2,763
"MAROLIO PICADILLO X 90 G",228.00952,88,68.72952,764
"DELICIA MARGARINA MOLINOS X 200 G",227.80741,43.99999,71.60741,765
"JABON T.REXONA NATURAL 125G",227.69032,54.99999,79.32032,766
